File Location	 Duration	 CalSp1	 CalSp2	CalSp3	 CalSp4	 CalSp5	 CalSp6	 CalSp7	 CalSp8	 CalSp9	 CalSp10	 CalSp11	 CalSp12	 CalSp13	 CalSp14	 CalSp15	 CalSp16
C:\work\reclab\stim\silence200.wfm	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\work\reclab\stim\silence500.wfm	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\work\reclab\stim\silence1000.wfm	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\work\reclab\stim\silence1500.wfm	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\work\reclab\stim\Tone_250.wfm	200	9.4	10.5	12.2	16.4	10.6	10.8	11.2	11.3	13.1	8.8	17.9	12.2	11.6	15	11.9	17
C:\work\reclab\stim\Tone_500.wfm	200	14.1	15.1	8.6	15.6	16.5	7	13.6	13.6	12.7	15.4	14.5	13	16.4	8.3	14.8	12.6
C:\work\reclab\stim\Tone_1000.wfm	200	19.1	20.1	19.3	20.6	18.5	19.5	19.5	18.6	21.4	21.5	21.6	20.1	19.5	17.8	22.7	21.8
C:\work\reclab\stim\Tone_2000.wfm	200	21.8	19.1	20	24.9	22.9	21	21.8	22.2	22.2	22.2	22.7	24.6	25.6	26.7	21.6	25.4
C:\work\reclab\stim\Tone_4000.wfm	200	19.6	21.6	16.6	17.2	17.3	19.2	21.7	20.1	21.9	21	20.7	19.2	14.2	16.7	18	20.7
C:\work\reclab\stim\Tone_8000.wfm	200	25.4	25	22.6	24.3	24.1	25	26.6	22.2	22	26.3	25.6	23.1	28.4	26.2	23	26.5
C:\work\reclab\stim\Tone_16000.wfm	200	10.2	8.5	11	7.8	4.7	5.4	6.8	9	6.1	11.4	7.9	4.9	6.8	7	7.6	10
C:\work\reclab\stim\Tone_24000.wfm	200	-3.3	-0.4	-2.8	-5.2	-8.9	-4.7	-4.8	-8.2	-3.7	1.7	-1.7	-0.6	1	0.1	0.9	0.8
C:\work\reclab\stim\BPN_1875_375.wfm	200	2.7	4	5.5	10.1	5.1	4.9	4.5	5.2	6.9	6	10.1	4.4	4.5	10.6	5.8	10.5
C:\work\reclab\stim\BPN_375_750.wfm	200	8.7	9	8.5	10.3	10.4	9.8	10.2	10.8	10.2	10.6	10.6	9.2	9.6	10.8	9.4	10.1
C:\work\reclab\stim\BPN_750_1500.wfm	200	10.8	10.8	10.2	11.7	9.7	9	9.8	9.5	12.5	12	12.5	11.6	11.9	12.1	11.7	12.5
C:\work\reclab\stim\BPN_1500_3000.wfm	200	11.2	10.6	8.4	13.2	10.4	10.6	13	9.8	13.2	12.3	14	12.2	13.1	13.6	13	13.9
C:\work\reclab\stim\BPN_3000_6000.wfm	200	11.2	11.1	10.5	11.5	11.3	10.8	11.2	12.2	12.3	11.5	13.2	11.1	13.1	13.5	12.3	12.9
C:\work\reclab\stim\BPN_6000_12000.wfm	200	12.4	12.9	13.6	12.6	12.6	12.5	12.6	12.5	12	13.3	13.9	13.8	14	13.8	13	13.6
C:\work\reclab\stim\BPN_12000_20000.wfm	200	0.7	1.5	4.3	1.7	1.1	-2.1	1.9	1.2	-3.3	1.8	-0.5	3.1	0.3	-0.2	0.6	0.9
C:\work\reclab\stim\BBN_.wfm	200	12.2	12.5	12.8	12.9	12.3	12	12.7	12.4	12.6	13.2	13.9	13.3	13.9	13.9	13.2	13.8
C:\work\reclab\stim\AMNoise_4.wfm	500	10.6	10.8	11.2	11.1	10.8	10.6	11	10.7	10.8	11.4	12.2	11.6	12.3	12.2	11.5	12.1
