S1	S2	Spkr1	Spkr1	DdB1	DdB2
6	2	10	10	20	20
6	4	10	10	20	20
6	8	10	10	20	20
6	10	10	10	20	20
6	12	10	10	20	20
12	4	10	10	20	20
12	6	10	10	20	20
12	8	10	10	20	20
12	14	10	10	20	20
12	15	10	10	20	20

6	2	5	5	20	20
6	4	5	5	20	20
6	8	5	5	20	20
6	10	5	5	20	20
6	12	5	5	20	20
12	4	5	5	20	20
12	6	5	5	20	20
12	8	5	5	20	20
12	14	5	5	20	20
12	15	5	5	20	20

6	2	10	10	20	20
6	4	10	10	20	20
6	8	10	10	20	20
6	10	10	10	20	20
6	12	10	10	20	20
10	4	10	10	20	20
10	6	10	10	20	20
10	8	10	10	20	20
10	12	10	10	20	20
10	14	10	10	20	20
