S1	S2	Spkr1	Spkr1	DdB1	DdB2
5	0	15	15	20	20
5	1	15	15	20	20
5	2	15	15	20	20
5	3	15	15	20	20
5	4	15	15	20	20
5	5	15	15	20	20
5	6	15	15	20	20
5	7	15	15	20	20
5	8	15	15	20	20
5	9	15	15	20	20
5	10	15	15	20	20

5	0	8	8	20	20
5	1	8	8	20	20
5	2	8	8	20	20
5	3	8	8	20	20
5	4	8	8	20	20
5	5	8	8	20	20
5	6	8	8	20	20
5	7	8	8	20	20
5	8	8	8	20	20
5	9	8	8	20	20
5	10	8	8	20	20

5	0	11	11	20	20
5	1	11	11	20	20
5	2	11	11	20	20
5	3	11	11	20	20
5	4	11	11	20	20
5	5	11	11	20	20
5	6	11	11	20	20
5	7	11	11	20	20
5	8	11	11	20	20
5	9	11	11	20	20
5	10	11	11	20	20
