S1	S2	Spkr1	Spkr2	DdB1	DdB2
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	68	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	61	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	53	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	48	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	44	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	40	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	38	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	33	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	31	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	29	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	26	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	24	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	22	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	19	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
33	17	7	7	0	0
