S1	S2	Spkr1	Spkr2	DdB1	DdB2
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34      29      8       8       0       0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	26	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	24	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	22	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	19	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	17	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	68	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	61	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	53	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	48	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34	44	8	8	0	0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
34      40      8       8       0       0
