S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
125	142	33	1	1	16	0	0	10
125	137	33	1	1	16	0	0	10
125	133	33	1	1	16	0	0	10
125	130	33	1	1	16	0	0	10
125	128	33	1	1	16	0	0	10
125	127	33	1	1	16	0	0	10
125	125	33	1	1	16	0	0	10
125	123	33	1	1	16	0	0	10
125	122	33	1	1	16	0	0	10
125	121	33	1	1	16	0	0	10
125	119	33	1	1	16	0	0	10
125	117	33	1	1	16	0	0	10
125	115	33	1	1	16	0	0	10
125	142	33	1	1	4	0	0	10
125	137	33	1	1	4	0	0	10
125	133	33	1	1	4	0	0	10
125	130	33	1	1	4	0	0	10
125	128	33	1	1	4	0	0	10
125	127	33	1	1	4	0	0	10
125	125	33	1	1	4	0	0	10
125	123	33	1	1	4	0	0	10
125	122	33	1	1	4	0	0	10
125	121	33	1	1	4	0	0	10
125	119	33	1	1	4	0	0	10
125	117	33	1	1	4	0	0	10
125	115	33	1	1	4	0	0	10
125	142	33	1	1	2	0	0	10
125	137	33	1	1	2	0	0	10
125	133	33	1	1	2	0	0	10
125	130	33	1	1	2	0	0	10
125	128	33	1	1	2	0	0	10
125	127	33	1	1	2	0	0	10
125	125	33	1	1	2	0	0	10
125	123	33	1	1	2	0	0	10
125	122	33	1	1	2	0	0	10
125	121	33	1	1	2	0	0	10
125	119	33	1	1	2	0	0	10
125	117	33	1	1	2	0	0	10
125	115	33	1	1	2	0	0	10
125	142	33	1	1	16	0	0	65
125	137	33	1	1	16	0	0	65
125	133	33	1	1	16	0	0	65
125	130	33	1	1	16	0	0	65
125	128	33	1	1	16	0	0	65
125	127	33	1	1	16	0	0	65
125	125	33	1	1	16	0	0	65
125	123	33	1	1	16	0	0	65
125	122	33	1	1	16	0	0	65
125	121	33	1	1	16	0	0	65
125	119	33	1	1	16	0	0	65
125	117	33	1	1	16	0	0	65
125	115	33	1	1	16	0	0	65
125	142	33	1	1	4	0	0	65
125	137	33	1	1	4	0	0	65
125	133	33	1	1	4	0	0	65
125	130	33	1	1	4	0	0	65
125	128	33	1	1	4	0	0	65
125	127	33	1	1	4	0	0	65
125	125	33	1	1	4	0	0	65
125	123	33	1	1	4	0	0	65
125	122	33	1	1	4	0	0	65
125	121	33	1	1	4	0	0	65
125	119	33	1	1	4	0	0	65
125	117	33	1	1	4	0	0	65
125	115	33	1	1	4	0	0	65
125	142	33	1	1	2	0	0	65
125	137	33	1	1	2	0	0	65
125	133	33	1	1	2	0	0	65
125	130	33	1	1	2	0	0	65
125	128	33	1	1	2	0	0	65
125	127	33	1	1	2	0	0	65
125	125	33	1	1	2	0	0	65
125	123	33	1	1	2	0	0	65
125	122	33	1	1	2	0	0	65
125	121	33	1	1	2	0	0	65
125	119	33	1	1	2	0	0	65
125	117	33	1	1	2	0	0	65
125	115	33	1	1	2	0	0	65
