S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
25	42	125	1	1	16	0	0	10
25	37	125	1	1	16	0	0	10
25	33	125	1	1	16	0	0	10
25	30	125	1	1	16	0	0	10
25	28	125	1	1	16	0	0	10
25	27	125	1	1	16	0	0	10
25	25	125	1	1	16	0	0	10
25	23	125	1	1	16	0	0	10
25	22	125	1	1	16	0	0	10
25	21	125	1	1	16	0	0	10
25	19	125	1	1	16	0	0	10
25	17	125	1	1	16	0	0	10
25	15	125	1	1	16	0	0	10
25	42	125	1	1	4	0	0	10
25	37	125	1	1	4	0	0	10
25	33	125	1	1	4	0	0	10
25	30	125	1	1	4	0	0	10
25	28	125	1	1	4	0	0	10
25	27	125	1	1	4	0	0	10
25	25	125	1	1	4	0	0	10
25	23	125	1	1	4	0	0	10
25	22	125	1	1	4	0	0	10
25	21	125	1	1	4	0	0	10
25	19	125	1	1	4	0	0	10
25	17	125	1	1	4	0	0	10
25	15	125	1	1	4	0	0	10
25	42	125	1	1	2	0	0	10
25	37	125	1	1	2	0	0	10
25	33	125	1	1	2	0	0	10
25	30	125	1	1	2	0	0	10
25	28	125	1	1	2	0	0	10
25	27	125	1	1	2	0	0	10
25	25	125	1	1	2	0	0	10
25	23	125	1	1	2	0	0	10
25	22	125	1	1	2	0	0	10
25	21	125	1	1	2	0	0	10
25	19	125	1	1	2	0	0	10
25	17	125	1	1	2	0	0	10
25	15	125	1	1	2	0	0	10
25	42	125	1	1	16	0	0	65
25	37	125	1	1	16	0	0	65
25	33	125	1	1	16	0	0	65
25	30	125	1	1	16	0	0	65
25	28	125	1	1	16	0	0	65
25	27	125	1	1	16	0	0	65
25	25	125	1	1	16	0	0	65
25	23	125	1	1	16	0	0	65
25	22	125	1	1	16	0	0	65
25	21	125	1	1	16	0	0	65
25	19	125	1	1	16	0	0	65
25	17	125	1	1	16	0	0	65
25	15	125	1	1	16	0	0	65
25	42	125	1	1	4	0	0	65
25	37	125	1	1	4	0	0	65
25	33	125	1	1	4	0	0	65
25	30	125	1	1	4	0	0	65
25	28	125	1	1	4	0	0	65
25	27	125	1	1	4	0	0	65
25	25	125	1	1	4	0	0	65
25	23	125	1	1	4	0	0	65
25	22	125	1	1	4	0	0	65
25	21	125	1	1	4	0	0	65
25	19	125	1	1	4	0	0	65
25	17	125	1	1	4	0	0	65
25	15	125	1	1	4	0	0	65
25	42	125	1	1	2	0	0	65
25	37	125	1	1	2	0	0	65
25	33	125	1	1	2	0	0	65
25	30	125	1	1	2	0	0	65
25	28	125	1	1	2	0	0	65
25	27	125	1	1	2	0	0	65
25	25	125	1	1	2	0	0	65
25	23	125	1	1	2	0	0	65
25	22	125	1	1	2	0	0	65
25	21	125	1	1	2	0	0	65
25	19	125	1	1	2	0	0	65
25	17	125	1	1	2	0	0	65
25	15	125	1	1	2	0	0	65
