S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
133	155	33	1	1	1	0	0	10
133	149	33	1	1	1	0	0	10
133	144	33	1	1	1	0	0	10
133	140	33	1	1	1	0	0	10
133	137	33	1	1	1	0	0	10
133	136	33	1	1	1	0	0	10
133	133	33	1	1	1	0	0	10
133	130	33	1	1	1	0	0	10
133	129	33	1	1	1	0	0	10
133	127	33	1	1	1	0	0	10
133	125	33	1	1	1	0	0	10
133	122	33	1	1	1	0	0	10
133	120	33	1	1	1	0	0	10
133	155	33	1	1	13	0	0	10
133	149	33	1	1	13	0	0	10
133	144	33	1	1	13	0	0	10
133	140	33	1	1	13	0	0	10
133	137	33	1	1	13	0	0	10
133	136	33	1	1	13	0	0	10
133	133	33	1	1	13	0	0	10
133	130	33	1	1	13	0	0	10
133	129	33	1	1	13	0	0	10
133	127	33	1	1	13	0	0	10
133	125	33	1	1	13	0	0	10
133	122	33	1	1	13	0	0	10
133	120	33	1	1	13	0	0	10
133	155	33	1	1	7	0	0	10
133	149	33	1	1	7	0	0	10
133	144	33	1	1	7	0	0	10
133	140	33	1	1	7	0	0	10
133	137	33	1	1	7	0	0	10
133	136	33	1	1	7	0	0	10
133	133	33	1	1	7	0	0	10
133	130	33	1	1	7	0	0	10
133	129	33	1	1	7	0	0	10
133	127	33	1	1	7	0	0	10
133	125	33	1	1	7	0	0	10
133	122	33	1	1	7	0	0	10
133	120	33	1	1	7	0	0	10
133	155	33	1	1	1	0	0	65
133	149	33	1	1	1	0	0	65
133	144	33	1	1	1	0	0	65
133	140	33	1	1	1	0	0	65
133	137	33	1	1	1	0	0	65
133	136	33	1	1	1	0	0	65
133	133	33	1	1	1	0	0	65
133	130	33	1	1	1	0	0	65
133	129	33	1	1	1	0	0	65
133	127	33	1	1	1	0	0	65
133	125	33	1	1	1	0	0	65
133	122	33	1	1	1	0	0	65
133	120	33	1	1	1	0	0	65
133	155	33	1	1	13	0	0	65
133	149	33	1	1	13	0	0	65
133	144	33	1	1	13	0	0	65
133	140	33	1	1	13	0	0	65
133	137	33	1	1	13	0	0	65
133	136	33	1	1	13	0	0	65
133	133	33	1	1	13	0	0	65
133	130	33	1	1	13	0	0	65
133	129	33	1	1	13	0	0	65
133	127	33	1	1	13	0	0	65
133	125	33	1	1	13	0	0	65
133	122	33	1	1	13	0	0	65
133	120	33	1	1	13	0	0	65
133	155	33	1	1	7	0	0	65
133	149	33	1	1	7	0	0	65
133	144	33	1	1	7	0	0	65
133	140	33	1	1	7	0	0	65
133	137	33	1	1	7	0	0	65
133	136	33	1	1	7	0	0	65
133	133	33	1	1	7	0	0	65
133	130	33	1	1	7	0	0	65
133	129	33	1	1	7	0	0	65
133	127	33	1	1	7	0	0	65
133	125	33	1	1	7	0	0	65
133	122	33	1	1	7	0	0	65
133	120	33	1	1	7	0	0	65
