S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
125	152	200	1	1	1	0	0	5
125	146	200	1	1	1	0	0	5
125	140	200	1	1	1	0	0	5
125	136	200	1	1	1	0	0	5
125	133	200	1	1	1	0	0	5
125	130	200	1	1	1	0	0	5
125	129	200	1	1	1	0	0	5
125	125	200	1	1	1	0	0	5
125	123	200	1	1	1	0	0	5
125	122	200	1	1	1	0	0	5
125	120	200	1	1	1	0	0	5
125	118	200	1	1	1	0	0	5
125	117	200	1	1	1	0	0	5
125	114	200	1	1	1	0	0	5
125	113	200	1	1	1	0	0	5
125	152	200	1	1	13	0	0	5
125	146	200	1	1	13	0	0	5
125	140	200	1	1	13	0	0	5
125	136	200	1	1	13	0	0	5
125	133	200	1	1	13	0	0	5
125	130	200	1	1	13	0	0	5
125	129	200	1	1	13	0	0	5
125	125	200	1	1	13	0	0	5
125	123	200	1	1	13	0	0	5
125	122	200	1	1	13	0	0	5
125	120	200	1	1	13	0	0	5
125	118	200	1	1	13	0	0	5
125	117	200	1	1	13	0	0	5
125	114	200	1	1	13	0	0	5
125	113	200	1	1	13	0	0	5
125	152	200	1	1	1	0	0	10
125	146	200	1	1	1	0	0	10
125	140	200	1	1	1	0	0	10
125	136	200	1	1	1	0	0	10
125	133	200	1	1	1	0	0	10
125	130	200	1	1	1	0	0	10
125	129	200	1	1	1	0	0	10
125	125	200	1	1	1	0	0	10
125	123	200	1	1	1	0	0	10
125	122	200	1	1	1	0	0	10
125	120	200	1	1	1	0	0	10
125	118	200	1	1	1	0	0	10
125	117	200	1	1	1	0	0	10
125	114	200	1	1	1	0	0	10
125	113	200	1	1	1	0	0	10
125	152	200	1	1	13	0	0	10
125	146	200	1	1	13	0	0	10
125	140	200	1	1	13	0	0	10
125	136	200	1	1	13	0	0	10
125	133	200	1	1	13	0	0	10
125	130	200	1	1	13	0	0	10
125	129	200	1	1	13	0	0	10
125	125	200	1	1	13	0	0	10
125	123	200	1	1	13	0	0	10
125	122	200	1	1	13	0	0	10
125	120	200	1	1	13	0	0	10
125	118	200	1	1	13	0	0	10
125	117	200	1	1	13	0	0	10
125	114	200	1	1	13	0	0	10
125	113	200	1	1	13	0	0	10
125	152	200	1	1	7	0	0	35
125	146	200	1	1	7	0	0	35
125	140	200	1	1	7	0	0	35
125	136	200	1	1	7	0	0	35
125	133	200	1	1	7	0	0	35
125	130	200	1	1	7	0	0	35
125	129	200	1	1	7	0	0	35
125	125	200	1	1	7	0	0	35
125	123	200	1	1	7	0	0	35
125	122	200	1	1	7	0	0	35
125	120	200	1	1	7	0	0	35
125	118	200	1	1	7	0	0	35
125	117	200	1	1	7	0	0	35
125	114	200	1	1	7	0	0	35
125	113	200	1	1	7	0	0	35
