S1	S2	Dist	Spkr1	Spkr2	SpkrD	DdB1	DdB2	DdBD
133	168	200	1	1	1	0	0	30
133	161	200	1	1	1	0	0	30
133	153	200	1	1	1	0	0	30
133	148	200	1	1	1	0	0	30
133	144	200	1	1	1	0	0	30
133	140	200	1	1	1	0	0	30
133	138	200	1	1	1	0	0	30
133	133	200	1	1	1	0	0	30
133	131	200	1	1	1	0	0	30
133	129	200	1	1	1	0	0	30
133	126	200	1	1	1	0	0	30
133	124	200	1	1	1	0	0	30
133	122	200	1	1	1	0	0	30
133	119	200	1	1	1	0	0	30
133	117	200	1	1	1	0	0	30
133	168	200	1	1	13	0	0	30
133	161	200	1	1	13	0	0	30
133	153	200	1	1	13	0	0	30
133	148	200	1	1	13	0	0	30
133	144	200	1	1	13	0	0	30
133	140	200	1	1	13	0	0	30
133	138	200	1	1	13	0	0	30
133	133	200	1	1	13	0	0	30
133	131	200	1	1	13	0	0	30
133	129	200	1	1	13	0	0	30
133	126	200	1	1	13	0	0	30
133	124	200	1	1	13	0	0	30
133	122	200	1	1	13	0	0	30
133	119	200	1	1	13	0	0	30
133	117	200	1	1	13	0	0	30
