S1	S2	S1Spkr	S2Spkr	S1Db	S2Db
40	30	15	1	15	5
40	3	11	1	15	5
42	30	15	1	15	5
41	29	15	1	15	5
3	30	1	1	0	5
43	30	11	1	-5	5
43	3	15	1	15	5
43	29	11	1	15	5
43	3	11	1	5	5
40	3	15	1	-5	5
43	3	11	1	15	5
43	30	15	1	-5	5
3	29	1	1	0	5
42	3	11	1	15	5
42	29	15	1	-5	5
43	30	11	1	5	5
41	29	11	1	5	5
43	29	15	1	-5	5
40	3	15	1	15	5
42	30	11	1	5	5
40	30	15	1	5	5
40	3	11	1	5	5
42	30	11	1	-5	5
43	29	11	1	-5	5
43	30	15	1	15	5
40	30	11	1	-5	5
42	3	15	1	-5	5
42	29	11	1	15	5
40	3	11	1	-5	5
42	29	15	1	5	5
40	3	15	1	5	5
43	30	11	1	15	5
41	3	11	1	5	5
40	30	11	1	5	5
43	29	15	1	5	5
42	29	11	1	-5	5
41	3	11	1	-5	5
42	30	15	1	-5	5
43	3	15	1	5	5
42	30	11	1	15	5
43	29	11	1	5	5
43	30	15	1	5	5
41	3	15	1	-5	5
41	29	11	1	15	5
40	30	15	1	-5	5
43	3	11	1	-5	5
42	3	15	1	5	5
40	30	11	1	15	5
41	3	15	1	5	5
42	3	11	1	5	5
42	30	15	1	5	5
42	29	15	1	15	5
43	29	15	1	15	5
41	3	11	1	15	5
42	3	11	1	-5	5
42	29	11	1	5	5
43	3	15	1	-5	5
41	29	11	1	-5	5
41	3	15	1	15	5
41	29	15	1	-5	5
42	3	15	1	15	5
41	29	15	1	5	5
42	29	15	1	-5	5
40	30	11	1	-5	5
41	3	15	1	-5	5
43	29	15	1	5	5
43	30	15	1	-5	5
40	30	15	1	15	5
43	3	11	1	15	5
43	30	11	1	5	5
43	29	11	1	-5	5
42	29	11	1	5	5
41	3	11	1	15	5
40	30	11	1	15	5
42	3	15	1	15	5
42	3	11	1	-5	5
41	29	15	1	5	5
40	3	15	1	-5	5
43	29	15	1	-5	5
42	30	15	1	-5	5
40	30	15	1	5	5
42	29	15	1	15	5
40	3	11	1	-5	5
42	29	11	1	-5	5
42	3	15	1	-5	5
3	29	1	1	0	5
42	3	15	1	5	5
43	29	15	1	15	5
40	3	11	1	5	5
43	30	11	1	15	5
43	3	15	1	15	5
41	29	11	1	-5	5
40	3	11	1	15	5
