S1	S2	S1Spkr	S2Spkr	S1Db	S2Db
41	29	11	1	5	15
40	30	15	1	5	15
42	29	11	1	15	15
43	30	15	1	5	15
42	30	15	1	5	15
42	29	15	1	15	15
42	30	11	1	15	15
40	30	15	1	15	15
43	29	15	1	25	15
43	30	15	1	25	15
40	30	11	1	25	15
42	29	15	1	5	15
40	30	11	1	5	15
42	30	15	1	25	15
43	29	15	1	5	15
42	29	11	1	25	15
42	30	11	1	5	15
40	30	15	1	25	15
42	30	15	1	15	15
43	30	15	1	15	15
43	29	15	1	15	15
41	29	15	1	25	15
43	29	11	1	15	15
41	29	15	1	5	15
43	30	11	1	5	15
42	29	15	1	25	15
42	30	11	1	25	15
43	30	11	1	15	15
40	30	11	1	15	15
41	29	11	1	25	15
43	29	11	1	25	15
43	30	11	1	25	15
41	29	15	1	15	15
42	29	11	1	5	15
41	29	11	1	15	15
43	29	11	1	5	15
40	30	11	1	25	15
41	29	15	1	5	15
43	30	11	1	15	15
41	29	15	1	15	15
43	29	11	1	15	15
40	30	15	1	15	15
43	29	11	1	5	15
42	29	15	1	5	15
41	29	15	1	25	15
43	29	15	1	15	15
43	30	11	1	25	15
42	30	11	1	5	15
43	29	15	1	5	15
43	30	15	1	25	15
42	29	15	1	15	15
41	29	11	1	25	15
40	30	15	1	25	15
42	30	15	1	15	15
41	29	11	1	15	15
43	30	11	1	5	15
42	29	15	1	25	15
43	30	15	1	15	15
42	29	11	1	25	15
43	29	15	1	25	15
41	29	11	1	5	15
40	30	15	1	5	15
42	30	11	1	15	15
42	29	11	1	5	15
42	30	15	1	25	15
43	30	15	1	5	15
40	30	11	1	5	15
42	29	11	1	15	15
42	30	11	1	25	15
40	30	11	1	15	15
42	30	15	1	5	15
43	29	11	1	25	15
42	29	11	1	5	15
43	30	11	1	5	15
42	30	11	1	15	15
42	29	15	1	25	15
42	30	15	1	25	15
43	29	15	1	25	15
43	30	11	1	15	15
43	29	11	1	25	15
40	30	15	1	15	15
43	30	15	1	5	15
43	29	11	1	5	15
40	30	15	1	5	15
41	29	15	1	15	15
43	29	11	1	15	15
42	30	15	1	5	15
41	29	11	1	15	15
42	30	15	1	15	15
41	29	15	1	25	15
42	30	11	1	5	15
43	29	15	1	5	15
42	29	15	1	5	15
43	30	15	1	25	15
42	29	15	1	15	15
43	29	15	1	15	15
42	29	11	1	15	15
40	30	11	1	15	15
41	29	11	1	25	15
43	30	15	1	15	15
42	30	11	1	25	15
42	29	11	1	25	15
40	30	15	1	25	15
41	29	11	1	5	15
40	30	11	1	25	15
41	29	15	1	5	15
43	30	11	1	25	15
40	30	11	1	5	15
43	29	15	1	15	15
40	30	11	1	25	15
42	30	11	1	25	15
42	29	15	1	5	15
40	30	11	1	15	15
42	30	15	1	5	15
43	30	11	1	25	15
42	29	11	1	15	15
41	29	15	1	15	15
42	30	11	1	15	15
40	30	11	1	5	15
42	29	11	1	5	15
41	29	15	1	25	15
42	29	15	1	25	15
43	29	11	1	5	15
42	30	15	1	15	15
43	30	15	1	15	15
42	29	11	1	25	15
43	29	15	1	25	15
42	29	15	1	15	15
43	30	11	1	5	15
41	29	11	1	5	15
43	30	11	1	15	15
42	30	11	1	5	15
43	30	15	1	25	15
41	29	15	1	5	15
40	30	15	1	25	15
43	29	11	1	15	15
40	30	15	1	5	15
41	29	11	1	25	15
40	30	15	1	15	15
41	29	11	1	15	15
43	29	15	1	5	15
43	30	15	1	5	15
42	30	15	1	25	15
43	29	11	1	25	15
42	30	11	1	5	15
43	29	15	1	25	15
41	29	11	1	25	15
42	30	11	1	15	15
40	30	11	1	25	15
42	30	15	1	5	15
43	30	15	1	5	15
43	29	15	1	15	15
42	29	15	1	15	15
43	29	11	1	15	15
42	30	15	1	25	15
41	29	15	1	25	15
40	30	15	1	5	15
42	30	15	1	15	15
42	29	11	1	15	15
43	30	15	1	25	15
42	29	15	1	25	15
40	30	15	1	25	15
41	29	15	1	5	15
40	30	11	1	5	15
42	30	11	1	25	15
43	30	11	1	15	15
43	29	11	1	25	15
42	29	15	1	5	15
40	30	11	1	15	15
42	29	11	1	5	15
41	29	15	1	15	15
43	30	11	1	25	15
40	30	15	1	15	15
41	29	11	1	5	15
43	30	11	1	5	15
43	29	15	1	5	15
41	29	11	1	15	15
42	29	11	1	25	15
43	30	15	1	15	15
43	29	11	1	5	15
40	30	11	1	5	15
43	30	15	1	15	15
